timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2025-12-11T23:35:15.815,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:18.070,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:20.327,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:22.587,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:24.847,19.5,52.4,0,,,0,none,none
2025-12-11T23:35:27.101,19.5,52.4,0,,,0,none,none
2025-12-11T23:35:29.359,19.5,52.4,0,,,0,none,none
2025-12-11T23:35:31.619,19.5,52.4,0,,,0,none,none
2025-12-11T23:35:33.873,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:36.131,19.5,52.6,0,,,0,none,none
2025-12-11T23:35:38.391,19.5,52.7,0,,,0,none,none
2025-12-11T23:35:40.651,19.5,52.6,0,,,0,none,none
2025-12-11T23:35:42.906,19.5,52.4,0,,,0,none,none
2025-12-11T23:35:45.163,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:47.423,19.5,52.5,0,,,0,none,none
2025-12-11T23:35:49.683,19.5,52.7,0,,,0,none,none
2025-12-11T23:35:51.943,19.5,52.8,0,,,0,none,none
2025-12-11T23:35:54.197,19.5,53.0,0,,,0,none,none
2025-12-11T23:35:56.455,19.5,53.0,0,,,0,none,none
2025-12-11T23:35:58.715,19.5,52.9,0,,,0,none,none
2025-12-11T23:36:00.975,19.5,52.8,0,,,0,none,none
2025-12-11T23:36:03.230,19.4,52.7,0,,,0,none,none
2025-12-11T23:36:05.484,19.5,52.7,0,,,0,none,none
2025-12-11T23:36:07.743,19.5,52.8,0,,,0,none,none
2025-12-11T23:36:10.003,19.5,52.6,0,,,0,none,none
2025-12-11T23:36:12.263,19.5,52.7,0,,,0,none,none
2025-12-11T23:36:14.523,19.5,52.8,0,,,0,none,none
2025-12-11T23:36:16.783,19.5,52.7,0,,,0,none,none
2025-12-11T23:36:19.038,19.5,52.8,0,,,0,none,none
2025-12-11T23:36:21.292,19.5,52.6,0,,,0,none,none
2025-12-11T23:36:23.547,19.5,52.5,0,,,0,none,none
2025-12-11T23:36:25.801,19.5,52.6,0,,,0,none,none
2025-12-11T23:36:28.059,19.5,52.6,0,,,0,none,none
2025-12-11T23:36:30.314,,,0,,,0,none,none
2025-12-11T23:36:32.568,19.5,52.8,0,,,0,none,none
2025-12-11T23:36:34.827,19.5,52.8,0,,,0,none,none
2025-12-11T23:36:37.082,19.5,52.8,0,,,0,none,none
2025-12-11T23:36:39.336,19.5,52.7,0,,,0,none,none
2025-12-11T23:36:41.591,19.5,52.7,0,,,0,none,none
2025-12-11T23:36:43.846,19.5,52.7,0,,,0,none,none
2025-12-11T23:36:46.103,19.5,52.6,0,,,0,none,none
2025-12-11T23:36:48.357,19.5,52.5,0,,,0,none,none
2025-12-11T23:36:50.612,19.5,52.5,0,,,0,none,none
2025-12-11T23:36:52.871,19.5,52.6,0,,,0,none,none
2025-12-11T23:36:55.125,19.5,52.5,0,,,0,none,none
2025-12-11T23:36:57.380,19.5,52.6,0,,,0,none,none
2025-12-11T23:36:59.634,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:01.895,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:04.150,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:06.404,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:08.658,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:10.913,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:13.171,19.5,53.0,0,,,0,none,none
2025-12-11T23:37:15.426,19.4,52.9,0,,,0,none,none
2025-12-11T23:37:17.683,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:19.943,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:22.199,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:24.459,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:26.719,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:28.973,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:31.228,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:33.482,19.5,53.0,0,,,0,none,none
2025-12-11T23:37:35.743,19.5,53.2,0,,,0,none,none
2025-12-11T23:37:37.998,19.5,53.1,0,,,0,none,none
2025-12-11T23:37:40.252,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:42.506,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:44.763,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:47.023,19.5,53.0,0,,,0,none,none
2025-12-11T23:37:49.283,19.5,52.8,0,,,0,none,none
2025-12-11T23:37:51.543,19.5,52.9,0,,,0,none,none
2025-12-11T23:37:53.803,19.5,53.0,0,,,0,none,none
2025-12-11T23:37:56.057,19.5,53.1,0,,,0,none,none
2025-12-11T23:37:58.312,19.5,53.4,0,,,0,none,none
2025-12-11T23:38:00.571,19.5,53.5,0,,,0,none,none
2025-12-11T23:38:02.831,19.5,53.4,0,,,0,none,none
2025-12-11T23:38:05.086,19.5,53.3,0,,,0,none,none
2025-12-11T23:38:07.343,19.5,53.2,0,,,0,none,none
2025-12-11T23:38:09.597,19.5,53.1,0,,,0,none,none
2025-12-11T23:38:11.855,19.5,53.0,0,,,0,none,none
2025-12-11T23:38:14.115,19.5,53.1,0,,,0,none,none
2025-12-11T23:38:16.375,19.5,53.0,0,,,0,none,none
2025-12-11T23:38:18.629,19.5,52.9,0,,,0,none,none
